category,vehicle-brand,vehicle-model,vehicle-variant,type,recommended-sku,sku-desc.,upsize-sku,alternate-sku1,alternate-sku2,alternate-sku3,,
Motorcycle,Hero,Passion,Passion Pro 110 cc,Front,101922,80/100-18 SECURA ZOOM F  TL 47P,,102572,105740,,,
Motorcycle,Honda,Dream,110 cc,Front,101922,80/100-18 SECURA ZOOM F  TL 47P,,102572,105740,,,
Motorcycle,Honda,Shine,125 cc,Front,101922,80/100-18 SECURA ZOOM F  TL 47P,,102572,105740,,,
Motorcycle,Honda,Livo,110 cc,Front,101922,80/100-18 SECURA ZOOM F  TL 47P,,102572,105740,,,
Motorcycle,Honda,Unicorn,150 cc,Front,101922,80/100-18 SECURA ZOOM F  TL 47P,,102572,105740,,,
Motorcycle,Yamaha,Saluto,125 cc,Front,101922,80/100-18 SECURA ZOOM F  TL 47P,,102572,105740,,,
Motorcycle,Royal Enfield,Bullet Standard,350 cc,Rear,101959,3.50-19 MILAZE  TT 63P,,100236,,,,
Motorcycle,Royal Enfield,Bullet Electra,350 cc,Rear,101959,3.50-19 MILAZE  TT 63P,,100236,,,,
Motorcycle,TVS,XL Super,70 cc,Rear,101962,2.50-16 MILAZE  TT 41L,,100222,,,,
Motorcycle,Bajaj,Platina,110 cc,Rear,102442,80/100-17 ZOOM XL  TL 53P,,,,,,
Motorcycle,Suzuki,Hayate,100 cc,Rear,102442,80/100-17 ZOOM XL  TL 53P,,,,,,
Motorcycle,Bajaj,Pulsar,AS 160 cc,Rear,102453,110/80-17 ZOOM XL TL 57P,,106385,,,,
Motorcycle,Bajaj,Pulsar,NS 160 cc,Rear,102453,110/80-17 ZOOM XL TL 57P,,106385,,,,
Motorcycle,Honda,CB Twister,125 cc,Rear,102453,110/80-17 ZOOM XL TL 57P,,106385,,,,
Motorcycle,Honda,Trigger,100 cc,Rear,102453,110/80-17 ZOOM XL TL 57P,,106385,,,,
Motorcycle,Honda,Unicorn,160 cc,Rear,102453,110/80-17 ZOOM XL TL 57P,,106385,,,,
Motorcycle,TVS,Apache,160 cc,Rear,102453,110/80-17 ZOOM XL TL 57P,,106385,,,,
Motorcycle,TVS,Apache,180 cc,Rear,102453,110/80-17 ZOOM XL TL 57P,,106385,,,,
Motorcycle,Hero,Impulse,150 cc,Front,103033,90/90-19 ZOOM PLUS F  TT 52P,,,,,,
Motorcycle,Royal Enfield,Classic,350 cc,Front,103033,90/90-19 ZOOM PLUS F  TT 52P,,102322,,,,
Motorcycle,Royal Enfield,Thunderbird,350 cc,Front,103033,90/90-19 ZOOM PLUS F  TT 52P,,102322,,,,
Motorcycle,Royal Enfield,Classic,500 cc,Front,103033,90/90-19 ZOOM PLUS F  TT 52P,,102322,,,,
Motorcycle,Royal Enfield,Thunderbird,500 cc,Front,103033,90/90-19 ZOOM PLUS F  TT 52P,,102322,,,,
Motorcycle,Bajaj,Pulsar,NS 200 cc,Rear,103061,130/70-17 ZOOM XL TL 62P,,,,,,
Motorcycle,Bajaj,Pulsar,RS 200 cc,Rear,103061,130/70-17 ZOOM XL TL 62P,,,,,,
Motorcycle,Honda,CBR,150 cc,Rear,103061,130/70-17 ZOOM XL TL 62P,,,,,,
Motorcycle,Honda,Xblade,160 cc,Rear,103061,130/70-17 ZOOM XL TL 62P,,,,,,
Motorcycle,TVS,Apache,200 cc,Rear,103061,130/70-17 ZOOM XL TL 62P,,,,,,
Motorcycle,Hero,Xpulse,200 cc,Front,103172,90/90-21 GRIPP XL F TT 54S RE,,,,,,
Motorcycle,Honda,AFRICA TWIN,1000 cc,Front,103172,90/90-21 GRIPP XL F TT 54S RE,,,,,,
Motorcycle,Royal Enfield,Himalayan,411 cc,Front,103172,90/90-21 GRIPP XL F TT 54S RE,,,,,,
Motorcycle,Bajaj,Pulsar,NS 200 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,102502,106502,,,
Motorcycle,Bajaj,Pulsar,RS 200 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,102502,106502,,,
Motorcycle,Hero,Xtreme,200 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Hero,Xpulse,200T,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Honda,Hornet,160R,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Yamaha,FZ 16,150 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Yamaha,Fazer,150 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Yamaha,FZ25,250 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Yamaha,MT15,MT15,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Yamaha,R15,155 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Suzuki,Gixxer,155 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Suzuki,Intruder,155 cc,Front,103742,100/80-17 ZOOM PLUS F TL 52P SZ,,106502,,,,
Motorcycle,Bajaj,KTM Duke,200 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,KTM Duke,250 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,KTM Duke,390 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,KTM Duke,125 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,Dominar,400 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Honda,CBR,300R,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Kawasaki,Ninja,400 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Mahindra,Mojo,300 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Suzuki,Gixxer,250 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,TVS,Apache,RR 310,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
Motorcycle,Bajaj,KTM RC,200 cc,Rear,113496,150/60ZR17 SPORTRAD TL 66W,,104974,,,,
